,Ticker_ID,Comment_Frequency,Upvotes
48,90C,1,9
1146,65B,1,9
212,UNIT,1,9
477,418P,1,9
234,SMD,1,9
891,10AM,1,9
885,FRX,1,9
538,CUT,1,9
575,MAR,1,9
577,CUZ,1,9
815,70K,1,9
605,CRS,1,9
607,GAWD,1,9
610,MRO,1,9
795,WHOA,1,9
614,NUMB,1,9
787,BTFO,1,9
615,NEX,1,9
616,PFE,1,9
625,430C,1,9
765,SNB,1,9
635,MOUF,1,9
654,PYSK,1,9
655,J-G,1,9
660,495C,1,9
689,LULU,1,9
690,BOW,1,9
889,PUG,1,9
572,ORI,1,9
253,DNKG,1,9
256,FEDS,1,9
459,DIDT,1,9
458,SIT,1,9
344,GUN,1,9
941,£ARB,1,9
103,DAWN,1,8
589,INFL,1,8
561,TATA,1,8
254,STA,1,8
744,ACY,1,8
656,PLBY,1,8
255,FLOW,1,8
585,USAF,1,8
196,JOHN,1,8
736,RMO🤧,1,8
719,411C,1,8
1161,OSTK,1,8
760,DEAL,1,8
262,CLIF,1,8
773,NIGH,1,8
716,NOES,1,8
36,4TH,1,8
553,405P,1,8
661,BUD,1,8
524,36K,1,8
510,MIN,1,8
475,10P,1,8
1092,PEO,1,8
472,LYV,1,8
171,AWOL,1,8
669,GRWG,1,8
730,XLNX,1,8
731,COUR,1,8
532,A.I,1,8
788,BB👀,1,8
667,O\_O,1,7
724,ELY,1,7
721,JPO,1,7
658,1M+,1,7
734,400P,1,7
1149,ACL,1,7
677,UGH,1,7
708,E.T,1,7
481,MPH,1,7
471,2.3K,1,7
492,GOOG,1,7
239,FUTS,1,7
692,CLI,1,7
592,PING,1,7
591,GRPN,1,7
582,LUCD,1,7
526,POOL,1,7
497,ANVS,1,7
237,IPO…,1,7
562,ANNO,1,7
487,OTLY,1,7
543,VLDR,1,7
1159,240C,1,6
511,PAM,1,6
494,MDMA,1,6
501,SKIN,1,6
684,SBUX,1,6
525,EEET,1,6
74,BIBI,1,6
725,320C,1,6
77,GNOG,1,6
71,WFC,1,6
545,AMC👀,1,6
943,FTS,1,6
947,TRVG,1,6
796,PNUS,1,6
515,125C,1,4
499,PMI,1,4
942,VRTX,1,4
685,24C,1,4
946,HILL,1,4
1162,TMUS,1,3
945,PACB,1,3
944,GCTY,1,3
949,UPWK,1,2
948,DMY,1,2
